Source,destination_base,destination,count
1,9,61,1
1,10,62,8
1,10,62,1
1,85,137,82
2,1,53,4
2,2,54,2
2,4,56,2
2,5,57,4
2,6,58,2
2,7,59,4
2,8,60,3
2,10,62,1
2,132,184,1
3,1,53,43
3,2,54,42
3,4,56,40
3,5,57,49
3,6,58,44
3,7,59,44
3,8,60,33
3,10,62,2
3,10,62,1
3,37,89,63
3,93,145,1
4,1,53,26
4,2,54,29
4,4,56,27
4,5,57,28
4,6,58,32
4,7,59,25
4,8,60,22
4,9,61,1
4,10,62,1
4,93,145,1
4,159,211,1
5,1,53,24
5,2,54,27
5,4,56,22
5,5,57,30
5,6,58,31
5,7,59,30
5,8,60,30
5,10,62,1
5,17,69,1
6,5,57,1
6,10,62,52
6,154,206,1
7,10,62,2
7,45,97,3
8,10,62,3
8,10,62,1
9,10,62,1
9,10,62,1
10,10,62,1
10,135,187,2
11,10,62,1
11,10,62,1
11,85,137,34
12,10,62,1
12,45,97,1
12,85,137,171
13,9,61,3
13,10,62,3
13,10,62,1
14,9,61,2
14,10,62,1
14,97,149,3
14,153,205,2
14,167,219,1
15,10,62,1
16,10,62,3
16,10,62,1
16,14,66,1
16,25,77,1
16,26,78,1
16,41,93,7
16,41,93,4
16,45,97,1
16,48,100,7
16,48,100,6
16,49,101,1
16,51,103,1
16,59,111,1
16,62,114,1
16,71,123,1
16,72,124,1
16,73,125,1
16,74,126,1
16,75,127,1
16,84,136,1
16,88,140,1
16,93,145,1
16,94,146,1
16,96,148,1
16,97,149,8
16,97,149,6
16,99,151,1
16,108,160,1
16,111,163,8
16,111,163,5
16,115,167,1
16,115,167,1
16,122,174,1
16,125,177,1
16,141,193,1
17,10,62,1
17,25,77,1
17,28,80,3
17,28,80,5
17,119,171,3
18,10,62,1
18,10,62,1
18,50,102,14
18,85,137,4
19,9,61,1
19,10,62,3
19,25,77,2
19,45,97,3
19,85,137,2
20,9,61,1
20,10,62,1
20,19,71,6
21,10,62,1
22,10,62,2
22,10,62,1
23,10,62,2
24,5,57,1
24,8,60,1
24,10,62,2
24,10,62,1
24,45,97,1
24,85,137,952
25,36,88,1
25,136,188,2
26,1,53,5
26,2,54,4
26,3,55,1
26,4,56,3
26,5,57,3
26,6,58,12
26,7,59,8
26,8,60,1
26,9,61,17
26,10,62,33
26,10,62,3
26,13,65,5
26,19,71,10
26,19,71,2
26,21,73,7
26,22,74,12
26,22,74,3
26,23,75,3
26,26,78,2
26,26,78,2
26,27,79,20
26,29,81,2
26,31,83,8
26,33,85,8
26,34,86,3
26,35,87,7
26,36,88,11
26,38,90,7
26,40,92,16
26,41,93,5
26,42,94,7
26,43,95,1
26,44,96,13
26,45,97,13
26,47,99,2
26,48,100,6
26,49,101,9
26,52,104,2
26,54,106,12
26,55,107,1
26,55,107,2
26,56,108,2
26,58,110,2
26,58,110,2
26,63,115,21
26,64,116,2
26,67,119,1
26,69,121,2
26,70,122,4
26,71,123,1
26,73,125,6
26,74,126,1
26,76,128,2
26,78,130,1
26,80,132,2
26,82,134,6
26,83,135,4
26,83,135,2
26,84,136,1
26,85,137,14
26,88,140,2
26,90,142,8
26,91,143,4
26,91,143,2
26,92,144,5
26,93,145,1
26,94,146,1
26,97,149,10
26,98,150,9
26,99,151,12
26,100,152,1
26,100,152,1
26,103,155,1
26,104,156,7
26,105,157,2
26,108,160,2
26,109,161,1
26,111,163,1
26,111,163,1
26,113,165,1
26,115,167,2
26,117,169,1
26,120,172,6
26,120,172,1
26,123,175,2
26,123,175,3
26,127,179,2
26,128,180,1
26,129,181,7
26,129,181,2
26,131,183,2
26,134,186,15
26,135,187,6
26,137,189,7
26,138,190,1
26,140,192,1
26,146,198,10
26,148,200,10
26,149,201,1
26,150,202,2
26,151,203,3
26,160,212,3
27,9,61,3
27,10,62,13
27,10,62,7
27,10,62,2
27,171,223,1
27,172,224,1
27,172,224,1
27,173,225,1
27,174,226,1
27,175,227,1
27,175,227,1
27,176,228,1
27,176,228,1
27,177,229,1
27,178,230,1
27,178,230,1
27,179,231,1
27,180,232,1
27,180,232,1
27,181,233,1
27,181,233,1
27,182,234,1
27,182,234,1
27,183,235,1
27,183,235,1
27,184,236,1
27,184,236,1
27,185,237,1
27,185,237,1
27,186,238,1
27,186,238,1
27,187,239,1
27,187,239,1
27,188,240,1
27,188,240,1
27,189,241,1
27,189,241,1
27,190,242,1
27,190,242,1
27,191,243,1
27,191,243,1
27,192,244,1
27,192,244,1
27,193,245,1
27,193,245,1
27,194,246,1
27,194,246,1
27,195,247,1
27,195,247,1
27,196,248,1
27,196,248,1
27,197,249,1
27,197,249,1
27,198,250,1
27,198,250,1
27,199,251,1
27,199,251,1
27,200,252,1
27,200,252,1
27,201,253,1
27,201,253,1
27,202,254,1
27,202,254,1
27,203,255,1
27,203,255,1
27,204,256,1
27,204,256,1
27,205,257,1
27,205,257,1
27,206,258,1
27,206,258,1
27,207,259,1
27,207,259,1
27,208,260,1
27,209,261,1
27,210,262,1
27,211,263,1
27,211,263,1
27,212,264,1
27,213,265,1
27,213,265,1
27,214,266,1
27,215,267,1
27,216,268,1
27,217,269,1
27,218,270,1
27,219,271,1
27,219,271,1
27,220,272,1
27,221,273,1
27,222,274,1
27,222,274,1
27,223,275,1
27,224,276,1
27,225,277,1
27,225,277,1
27,226,278,1
27,227,279,1
27,228,280,1
27,228,280,1
27,229,281,1
27,229,281,1
27,230,282,1
27,230,282,1
27,231,283,1
27,231,283,1
27,232,284,1
27,233,285,1
27,233,285,1
27,234,286,1
27,235,287,1
27,235,287,1
27,236,288,1
27,236,288,1
27,237,289,1
27,237,289,1
27,238,290,1
27,239,291,1
27,239,291,1
27,240,292,1
27,240,292,1
27,241,293,1
27,242,294,1
27,242,294,1
27,243,295,1
27,244,296,1
27,245,297,1
27,246,298,1
27,246,298,1
27,247,299,1
27,247,299,1
27,248,300,1
27,248,300,1
27,249,301,1
