type,id,label,count
actor,1,1,19
actor,2,2,24
actor,3,3,9
actor,4,4,15
actor,5,5,14
actor,6,6,22
actor,7,7,34
actor,8,8,35
actor,9,9,37
actor,10,10,36
actor,11,11,23
actor,12,12,16
actor,13,13,32
actor,14,14,30
actor,15,15,38
actor,16,16,20
actor,17,17,27
actor,18,18,25
actor,19,19,29
actor,20,20,31
actor,21,21,38
actor,22,22,36
actor,23,23,37
actor,24,24,5
actor,25,25,36
actor,26,26,8
actor,27,27,10
actor,28,28,33
actor,29,29,37
actor,30,30,37
actor,31,31,33
actor,32,32,37
actor,33,33,37
actor,34,34,26
actor,35,35,38
actor,36,36,37
actor,37,37,2
actor,38,38,17
actor,39,39,11
actor,40,40,21
actor,41,41,7
actor,42,42,6
actor,43,43,25
actor,44,44,4
actor,45,45,13
actor,46,46,30
actor,47,47,3
actor,48,48,1
actor,49,49,12
actor,50,50,18
actor,51,51,28
actor,52,52,28
system,53,1,237
system,54,2,212
system,55,3,43
system,56,4,212
system,57,5,159
system,58,6,240
system,59,7,266
system,60,8,301
system,61,9,272
system,62,10,460
system,63,11,6
system,64,12,59
system,65,13,5
system,66,14,81
system,67,15,20
system,68,16,26
system,69,17,1
system,70,18,1
system,71,19,61
system,72,20,1
system,73,21,7
system,74,22,15
system,75,23,3
system,76,24,25
system,77,25,37
system,78,26,59
system,79,27,37
system,80,28,61
system,81,29,2
system,82,30,6
system,83,31,8
system,84,32,10
system,85,33,21
system,86,34,5
system,87,35,20
system,88,36,26
system,89,37,107
system,90,38,12
system,91,39,12
system,92,40,16
system,93,41,18
system,94,42,10
system,95,43,2
system,96,44,13
system,97,45,119
system,98,46,39
system,99,47,20
system,100,48,19
system,101,49,11
system,102,50,91
system,103,51,33
system,104,52,2
system,105,53,67
system,106,54,61
system,107,55,4
system,108,56,5
system,109,57,21
system,110,58,51
system,111,59,36
system,112,60,24
system,113,61,51
system,114,62,1
system,115,63,66
system,116,64,4
system,117,65,1
system,118,66,2
system,119,67,16
system,120,68,18
system,121,69,40
system,122,70,34
system,123,71,2
system,124,72,1
system,125,73,15
system,126,74,2
system,127,75,43
system,128,76,2
system,129,77,14
system,130,78,104
system,131,79,3
system,132,80,2
system,133,81,7
system,134,82,6
system,135,83,17
system,136,84,30
system,137,85,32282
system,138,86,32
system,139,87,34
system,140,88,7
system,141,89,2
system,142,90,57
system,143,91,22
system,144,92,5
system,145,93,5
system,146,94,40
system,147,95,36
system,148,96,1
system,149,97,31
system,150,98,9
system,151,99,18
system,152,100,4
system,153,101,15
system,154,102,44
system,155,103,5
system,156,104,7
system,157,105,46
system,158,106,21
system,159,107,49
system,160,108,36
system,161,109,1
system,162,110,6
system,163,111,49
system,164,112,4
system,165,113,14
system,166,114,15
system,167,115,4
system,168,116,35
system,169,117,6
system,170,118,3
system,171,119,102
system,172,120,7
system,173,121,4
system,174,122,1
system,175,123,5
system,176,124,16
system,177,125,42
system,178,126,23
system,179,127,78
system,180,128,36
system,181,129,11
system,182,130,49
system,183,131,32
system,184,132,1
system,185,133,1
system,186,134,15
system,187,135,12
system,188,136,2
system,189,137,7
system,190,138,28
system,191,139,3
system,192,140,10
system,193,141,1
system,194,142,1
system,195,143,4
system,196,144,7
system,197,145,8
system,198,146,15
system,199,147,3
system,200,148,10
system,201,149,43
system,202,150,21
system,203,151,3
system,204,152,1
system,205,153,2
system,206,154,1
system,207,155,2
system,208,156,1
system,209,157,1
system,210,158,1
system,211,159,1
system,212,160,3
system,213,161,3
system,214,162,7
system,215,163,2
system,216,164,1
system,217,165,1
system,218,166,1
system,219,167,1
system,220,168,4
system,221,169,1
system,222,170,10
system,223,171,1
system,224,172,2
system,225,173,1
system,226,174,1
system,227,175,2
system,228,176,2
system,229,177,1
system,230,178,2
system,231,179,1
system,232,180,2
system,233,181,2
system,234,182,2
system,235,183,2
system,236,184,2
system,237,185,2
system,238,186,2
system,239,187,2
system,240,188,2
system,241,189,2
system,242,190,2
system,243,191,2
system,244,192,2
system,245,193,2
system,246,194,2
system,247,195,2
system,248,196,2
system,249,197,2
system,250,198,2
system,251,199,2
system,252,200,2
system,253,201,2
system,254,202,2
system,255,203,2
system,256,204,2
system,257,205,2
system,258,206,2
system,259,207,2
system,260,208,1
system,261,209,1
system,262,210,1
system,263,211,2
system,264,212,1
system,265,213,2
system,266,214,1
system,267,215,1
system,268,216,1
system,269,217,1
system,270,218,1
system,271,219,2
system,272,220,1
system,273,221,1
system,274,222,2
system,275,223,1
system,276,224,1
system,277,225,2
system,278,226,1
system,279,227,1
system,280,228,2
system,281,229,2
system,282,230,2
system,283,231,2
system,284,232,1
system,285,233,2
system,286,234,1
system,287,235,2
system,288,236,2
system,289,237,2
system,290,238,1
system,291,239,2
system,292,240,2
system,293,241,1
system,294,242,2
system,295,243,1
system,296,244,1
system,297,245,1
system,298,246,2
system,299,247,2
system,300,248,2
system,301,249,2
system,302,250,2
system,303,251,2
system,304,252,1
system,305,253,1
system,306,254,2
system,307,255,1
system,308,256,1
system,309,257,1
system,310,258,1
system,311,259,1
system,312,260,2
system,313,261,2
system,314,262,1
system,315,263,1
system,316,264,1
system,317,265,1
system,318,266,1
system,319,267,2
system,320,268,1
system,321,269,2
system,322,270,2
system,323,271,2
system,324,272,2
system,325,273,2
system,326,274,2
system,327,275,2
system,328,276,1
system,329,277,2
system,330,278,1
system,331,279,2
system,332,280,2
system,333,281,1
system,334,282,2
system,335,283,2
system,336,284,2
system,337,285,2
system,338,286,1
system,339,287,1
system,340,288,2
system,341,289,2
system,342,290,2
system,343,291,2
system,344,292,2
system,345,293,2
system,346,294,1
system,347,295,2
system,348,296,1
system,349,297,1
system,350,298,1
system,351,299,2
system,352,300,1
system,353,301,2
system,354,302,2
system,355,303,2
system,356,304,2
system,357,305,2
system,358,306,2
system,359,307,2
system,360,308,2
system,361,309,2
system,362,310,2
system,363,311,2
system,364,312,2
system,365,313,2
system,366,314,1
system,367,315,2
system,368,316,2
system,369,317,1
system,370,318,1
system,371,319,2
system,372,320,2
system,373,321,2
system,374,322,1
system,375,323,1
system,376,324,1
system,377,325,1
system,378,326,1
system,379,327,1
system,380,328,1
system,381,329,1
system,382,330,1
system,383,331,1
system,384,332,1
system,385,333,2
system,386,334,1
system,387,335,2
system,388,336,1
system,389,337,1
system,390,338,2
system,391,339,2
system,392,340,2
system,393,341,2
system,394,342,2
system,395,343,2
system,396,344,2
system,397,345,2
system,398,346,2
system,399,347,2
system,400,348,2
system,401,349,2
system,402,350,2
system,403,351,2
system,404,352,2
system,405,353,2
system,406,354,2
system,407,355,1
system,408,356,2
system,409,357,2
system,410,358,2
system,411,359,2
system,412,360,2
system,413,361,2
system,414,362,2
system,415,363,1
system,416,364,1
system,417,365,1
system,418,366,1
system,419,367,1
system,420,368,1
system,421,369,1
system,422,370,1
system,423,371,1
