Point Name,Count,Location
Actor 1,19,External
Actor 2,24,External
Actor 3,9,External
Actor 4,15,External
Actor 5,14,External
Actor 6,22,External
Actor 7,34,External
Actor 8,35,External
Actor 9,37,External
Actor 10,36,External
Actor 11,23,External
Actor 12,16,External
Actor 13,32,External
Actor 14,30,External
Actor 15,38,External
Actor 16,20,External
Actor 17,27,External
Actor 18,25,External
Actor 19,29,External
Actor 20,31,External
Actor 21,38,External
Actor 22,36,External
Actor 23,37,External
Actor 24,5,External
Actor 25,36,External
Actor 26,8,External
Actor 27,10,External
Actor 28,33,External
Actor 29,37,External
Actor 30,37,External
Actor 31,33,External
Actor 32,37,External
Actor 33,37,External
Actor 34,26,External
Actor 35,38,External
Actor 36,37,External
Actor 37,2,External
Actor 38,17,External
Actor 39,11,External
Actor 40,21,External
Actor 41,7,External
Actor 42,6,External
Actor 43,25,External
Actor 44,4,External
Actor 45,13,External
Actor 46,30,External
Actor 47,3,External
Actor 48,1,External
Actor 49,12,External
Actor 50,18,External
Actor 51,28,External
Actor 52,28,External
System 1,237,Internal
System 2,212,Internal
System 3,43,Internal
System 4,212,Internal
System 5,159,Internal
System 6,240,Internal
System 7,266,Internal
System 8,301,Internal
System 9,272,Internal
System 10,460,Internal
System 11,6,Internal
System 12,59,Internal
System 13,5,Internal
System 14,81,Internal
System 15,20,Internal
System 16,26,Internal
System 17,1,Internal
System 18,1,Internal
System 19,61,Internal
System 20,1,Internal
System 21,7,Internal
System 22,15,Internal
System 23,3,Internal
System 24,25,Internal
System 25,37,Internal
System 26,59,Internal
System 27,37,Internal
System 28,61,Internal
System 29,2,Internal
System 30,6,Internal
System 31,8,Internal
System 32,10,Internal
System 33,21,Internal
System 34,5,Internal
System 35,20,Internal
System 36,26,Internal
System 37,107,Internal
System 38,12,Internal
System 39,12,Internal
System 40,16,Internal
System 41,18,Internal
System 42,10,Internal
System 43,2,Internal
System 44,13,Internal
System 45,119,Internal
System 46,39,Internal
System 47,20,Internal
System 48,19,Internal
System 49,11,Internal
System 50,91,Internal
System 51,33,Internal
System 52,2,Internal
System 53,67,Internal
System 54,61,Internal
System 55,4,Internal
System 56,5,Internal
System 57,21,Internal
System 58,51,Internal
System 59,36,Internal
System 60,24,Internal
System 61,51,Internal
System 62,1,Internal
System 63,66,Internal
System 64,4,Internal
System 65,1,Internal
System 66,2,Internal
System 67,16,Internal
System 68,18,Internal
System 69,40,Internal
System 70,34,Internal
System 71,2,Internal
System 72,1,Internal
System 73,15,Internal
System 74,2,Internal
System 75,43,Internal
System 76,2,Internal
System 77,14,Internal
System 78,104,Internal
System 79,3,Internal
System 80,2,Internal
System 81,7,Internal
System 82,6,Internal
System 83,17,Internal
System 84,30,Internal
System 85,32282,Internal
System 86,32,Internal
System 87,34,Internal
System 88,7,Internal
System 89,2,Internal
System 90,57,Internal
System 91,22,Internal
System 92,5,Internal
System 93,5,Internal
System 94,40,Internal
System 95,36,Internal
System 96,1,Internal
System 97,31,Internal
System 98,9,Internal
System 99,18,Internal
System 100,4,Internal
System 101,15,Internal
System 102,44,Internal
System 103,5,Internal
System 104,7,Internal
System 105,46,Internal
System 106,21,Internal
System 107,49,Internal
System 108,36,Internal
System 109,1,Internal
System 110,6,Internal
System 111,49,Internal
System 112,4,Internal
System 113,14,Internal
System 114,15,Internal
System 115,4,Internal
System 116,35,Internal
System 117,6,Internal
System 118,3,Internal
System 119,102,Internal
System 120,7,Internal
System 121,4,Internal
System 122,1,Internal
System 123,5,Internal
System 124,16,Internal
System 125,42,Internal
System 126,23,Internal
System 127,78,Internal
System 128,36,Internal
System 129,11,Internal
System 130,49,Internal
System 131,32,Internal
System 132,1,Internal
System 133,1,Internal
System 134,15,Internal
System 135,12,Internal
System 136,2,Internal
System 137,7,Internal
System 138,28,Internal
System 139,3,Internal
System 140,10,Internal
System 141,1,Internal
System 142,1,Internal
System 143,4,Internal
System 144,7,Internal
System 145,8,Internal
System 146,15,Internal
System 147,3,Internal
System 148,10,Internal
System 149,43,Internal
System 150,21,Internal
System 151,3,Internal
System 152,1,Internal
System 153,2,Internal
System 154,1,Internal
System 155,2,Internal
System 156,1,Internal
System 157,1,Internal
System 158,1,Internal
System 159,1,Internal
System 160,3,Internal
System 161,3,Internal
System 162,7,Internal
System 163,2,Internal
System 164,1,Internal
System 165,1,Internal
System 166,1,Internal
System 167,1,Internal
System 168,4,Internal
System 169,1,Internal
System 170,10,Internal
System 171,1,Internal
System 172,2,Internal
System 173,1,Internal
System 174,1,Internal
System 175,2,Internal
System 176,2,Internal
System 177,1,Internal
System 178,2,Internal
System 179,1,Internal
System 180,2,Internal
System 181,2,Internal
System 182,2,Internal
System 183,2,Internal
System 184,2,Internal
System 185,2,Internal
System 186,2,Internal
System 187,2,Internal
System 188,2,Internal
System 189,2,Internal
System 190,2,Internal
System 191,2,Internal
System 192,2,Internal
System 193,2,Internal
System 194,2,Internal
System 195,2,Internal
System 196,2,Internal
System 197,2,Internal
System 198,2,Internal
System 199,2,Internal
System 200,2,Internal
System 201,2,Internal
System 202,2,Internal
System 203,2,Internal
System 204,2,Internal
System 205,2,Internal
System 206,2,Internal
System 207,2,Internal
System 208,1,Internal
System 209,1,Internal
System 210,1,Internal
System 211,2,Internal
System 212,1,Internal
System 213,2,Internal
System 214,1,Internal
System 215,1,Internal
System 216,1,Internal
System 217,1,Internal
System 218,1,Internal
System 219,2,Internal
System 220,1,Internal
System 221,1,Internal
System 222,2,Internal
System 223,1,Internal
System 224,1,Internal
System 225,2,Internal
System 226,1,Internal
System 227,1,Internal
System 228,2,Internal
System 229,2,Internal
System 230,2,Internal
System 231,2,Internal
System 232,1,Internal
System 233,2,Internal
System 234,1,Internal
System 235,2,Internal
System 236,2,Internal
System 237,2,Internal
System 238,1,Internal
System 239,2,Internal
System 240,2,Internal
System 241,1,Internal
System 242,2,Internal
System 243,1,Internal
System 244,1,Internal
System 245,1,Internal
System 246,2,Internal
System 247,2,Internal
System 248,2,Internal
System 249,2,Internal
System 250,2,Internal
System 251,2,Internal
System 252,1,Internal
System 253,1,Internal
System 254,2,Internal
System 255,1,Internal
System 256,1,Internal
System 257,1,Internal
System 258,1,Internal
System 259,1,Internal
System 260,2,Internal
System 261,2,Internal
System 262,1,Internal
System 263,1,Internal
System 264,1,Internal
System 265,1,Internal
System 266,1,Internal
System 267,2,Internal
System 268,1,Internal
System 269,2,Internal
System 270,2,Internal
System 271,2,Internal
System 272,2,Internal
System 273,2,Internal
System 274,2,Internal
System 275,2,Internal
System 276,1,Internal
System 277,2,Internal
System 278,1,Internal
System 279,2,Internal
System 280,2,Internal
System 281,1,Internal
System 282,2,Internal
System 283,2,Internal
