Source,Destination,count
Actor 1,System 9,1
Actor 1,System 10,8
Actor 1,System 10,1
Actor 1,System 85,82
Actor 2,System 1,4
Actor 2,System 2,2
Actor 2,System 4,2
Actor 2,System 5,4
Actor 2,System 6,2
Actor 2,System 7,4
Actor 2,System 8,3
Actor 2,System 10,1
Actor 2,System 132,1
Actor 3,System 1,43
Actor 3,System 2,42
Actor 3,System 4,40
Actor 3,System 5,49
Actor 3,System 6,44
Actor 3,System 7,44
Actor 3,System 8,33
Actor 3,System 10,2
Actor 3,System 10,1
Actor 3,System 37,63
Actor 3,System 93,1
Actor 4,System 1,26
Actor 4,System 2,29
Actor 4,System 4,27
Actor 4,System 5,28
Actor 4,System 6,32
Actor 4,System 7,25
Actor 4,System 8,22
Actor 4,System 9,1
Actor 4,System 10,1
Actor 4,System 93,1
Actor 4,System 159,1
Actor 5,System 1,24
Actor 5,System 2,27
Actor 5,System 4,22
Actor 5,System 5,30
Actor 5,System 6,31
Actor 5,System 7,30
Actor 5,System 8,30
Actor 5,System 10,1
Actor 5,System 17,1
Actor 6,System 5,1
Actor 6,System 10,52
Actor 6,System 154,1
Actor 7,System 10,2
Actor 7,System 45,3
Actor 8,System 10,3
Actor 8,System 10,1
Actor 9,System 10,1
Actor 9,System 10,1
Actor 10,System 10,1
Actor 10,System 135,2
Actor 11,System 10,1
Actor 11,System 10,1
Actor 11,System 85,34
Actor 12,System 10,1
Actor 12,System 45,1
Actor 12,System 85,171
Actor 13,System 9,3
Actor 13,System 10,3
Actor 13,System 10,1
Actor 14,System 9,2
Actor 14,System 10,1
Actor 14,System 97,3
Actor 14,System 153,2
Actor 14,System 167,1
Actor 15,System 10,1
Actor 16,System 10,3
Actor 16,System 10,1
Actor 16,System 14,1
Actor 16,System 25,1
Actor 16,System 26,1
Actor 16,System 41,7
Actor 16,System 41,4
Actor 16,System 45,1
Actor 16,System 48,7
Actor 16,System 48,6
Actor 16,System 49,1
Actor 16,System 51,1
Actor 16,System 59,1
Actor 16,System 62,1
Actor 16,System 71,1
Actor 16,System 72,1
Actor 16,System 73,1
Actor 16,System 74,1
Actor 16,System 75,1
Actor 16,System 84,1
Actor 16,System 88,1
Actor 16,System 93,1
Actor 16,System 94,1
Actor 16,System 96,1
Actor 16,System 97,8
Actor 16,System 97,6
Actor 16,System 99,1
Actor 16,System 108,1
Actor 16,System 111,8
Actor 16,System 111,5
Actor 16,System 115,1
Actor 16,System 115,1
Actor 16,System 122,1
Actor 16,System 125,1
Actor 16,System 141,1
Actor 17,System 10,1
Actor 17,System 25,1
Actor 17,System 28,3
Actor 17,System 28,5
Actor 17,System 119,3
Actor 18,System 10,1
Actor 18,System 10,1
Actor 18,System 50,14
Actor 18,System 85,4
Actor 19,System 9,1
Actor 19,System 10,3
Actor 19,System 25,2
Actor 19,System 45,3
Actor 19,System 85,2
Actor 20,System 9,1
Actor 20,System 10,1
Actor 20,System 19,6
Actor 21,System 10,1
Actor 22,System 10,2
Actor 22,System 10,1
Actor 23,System 10,2
Actor 24,System 5,1
Actor 24,System 8,1
Actor 24,System 10,2
Actor 24,System 10,1
Actor 24,System 45,1
Actor 24,System 85,952
Actor 25,System 36,1
Actor 25,System 136,2
Actor 26,System 1,5
Actor 26,System 2,4
Actor 26,System 3,1
Actor 26,System 4,3
Actor 26,System 5,3
Actor 26,System 6,12
Actor 26,System 7,8
Actor 26,System 8,1
Actor 26,System 9,17
Actor 26,System 10,33
Actor 26,System 10,3
Actor 26,System 13,5
Actor 26,System 19,10
Actor 26,System 19,2
Actor 26,System 21,7
Actor 26,System 22,12
Actor 26,System 22,3
Actor 26,System 23,3
Actor 26,System 26,2
Actor 26,System 26,2
Actor 26,System 27,20
Actor 26,System 29,2
Actor 26,System 31,8
Actor 26,System 33,8
Actor 26,System 34,3
Actor 26,System 35,7
Actor 26,System 36,11
Actor 26,System 38,7
Actor 26,System 40,16
Actor 26,System 41,5
Actor 26,System 42,7
Actor 26,System 43,1
Actor 26,System 44,13
Actor 26,System 45,13
Actor 26,System 47,2
Actor 26,System 48,6
Actor 26,System 49,9
Actor 26,System 52,2
Actor 26,System 54,12
Actor 26,System 55,1
Actor 26,System 55,2
Actor 26,System 56,2
Actor 26,System 58,2
Actor 26,System 58,2
Actor 26,System 63,21
Actor 26,System 64,2
Actor 26,System 67,1
Actor 26,System 69,2
Actor 26,System 70,4
Actor 26,System 71,1
Actor 26,System 73,6
Actor 26,System 74,1
Actor 26,System 76,2
Actor 26,System 78,1
Actor 26,System 80,2
Actor 26,System 82,6
Actor 26,System 83,4
Actor 26,System 83,2
Actor 26,System 84,1
Actor 26,System 85,14
Actor 26,System 88,2
Actor 26,System 90,8
Actor 26,System 91,4
Actor 26,System 91,2
Actor 26,System 92,5
Actor 26,System 93,1
Actor 26,System 94,1
Actor 26,System 97,10
Actor 26,System 98,9
Actor 26,System 99,12
Actor 26,System 100,1
Actor 26,System 100,1
Actor 26,System 103,1
Actor 26,System 104,7
Actor 26,System 105,2
Actor 26,System 108,2
Actor 26,System 109,1
Actor 26,System 111,1
Actor 26,System 111,1
Actor 26,System 113,1
Actor 26,System 115,2
Actor 26,System 117,1
Actor 26,System 120,6
Actor 26,System 120,1
Actor 26,System 123,2
Actor 26,System 123,3
Actor 26,System 127,2
Actor 26,System 128,1
Actor 26,System 129,7
Actor 26,System 129,2
Actor 26,System 131,2
Actor 26,System 134,15
Actor 26,System 135,6
Actor 26,System 137,7
Actor 26,System 138,1
Actor 26,System 140,1
Actor 26,System 146,10
Actor 26,System 148,10
Actor 26,System 149,1
Actor 26,System 150,2
Actor 26,System 151,3
Actor 26,System 160,3
Actor 27,System 9,3
Actor 27,System 10,13
Actor 27,System 10,7
Actor 27,System 10,2
Actor 27,System 171,1
Actor 27,System 172,1
Actor 27,System 172,1
Actor 27,System 173,1
Actor 27,System 174,1
Actor 27,System 175,1
Actor 27,System 175,1
Actor 27,System 176,1
Actor 27,System 176,1
Actor 27,System 177,1
Actor 27,System 178,1
Actor 27,System 178,1
Actor 27,System 179,1
Actor 27,System 180,1
Actor 27,System 180,1
Actor 27,System 181,1
Actor 27,System 181,1
Actor 27,System 182,1
Actor 27,System 182,1
Actor 27,System 183,1
Actor 27,System 183,1
Actor 27,System 184,1
Actor 27,System 184,1
Actor 27,System 185,1
Actor 27,System 185,1
Actor 27,System 186,1
Actor 27,System 186,1
Actor 27,System 187,1
Actor 27,System 187,1
Actor 27,System 188,1
Actor 27,System 188,1
Actor 27,System 189,1
Actor 27,System 189,1
Actor 27,System 190,1
Actor 27,System 190,1
Actor 27,System 191,1
Actor 27,System 191,1
Actor 27,System 192,1
Actor 27,System 192,1
Actor 27,System 193,1
Actor 27,System 193,1
Actor 27,System 194,1
Actor 27,System 194,1
Actor 27,System 195,1
Actor 27,System 195,1
Actor 27,System 196,1
Actor 27,System 196,1
Actor 27,System 197,1
Actor 27,System 197,1
Actor 27,System 198,1
Actor 27,System 198,1
Actor 27,System 199,1
Actor 27,System 199,1
Actor 27,System 200,1
Actor 27,System 200,1
Actor 27,System 201,1
Actor 27,System 201,1
Actor 27,System 202,1
Actor 27,System 202,1
Actor 27,System 203,1
Actor 27,System 203,1
Actor 27,System 204,1
Actor 27,System 204,1
Actor 27,System 205,1
Actor 27,System 205,1
Actor 27,System 206,1
Actor 27,System 206,1
Actor 27,System 207,1
Actor 27,System 207,1
Actor 27,System 208,1
Actor 27,System 209,1
Actor 27,System 210,1
Actor 27,System 211,1
Actor 27,System 211,1
Actor 27,System 212,1
Actor 27,System 213,1
Actor 27,System 213,1
Actor 27,System 214,1
Actor 27,System 215,1
Actor 27,System 216,1
Actor 27,System 217,1
Actor 27,System 218,1
Actor 27,System 219,1
Actor 27,System 219,1
Actor 27,System 220,1
Actor 27,System 221,1
Actor 27,System 222,1
Actor 27,System 222,1
Actor 27,System 223,1
Actor 27,System 224,1
Actor 27,System 225,1
Actor 27,System 225,1
Actor 27,System 226,1
Actor 27,System 227,1
Actor 27,System 228,1
Actor 27,System 228,1
Actor 27,System 229,1
Actor 27,System 229,1
Actor 27,System 230,1
Actor 27,System 230,1
Actor 27,System 231,1
Actor 27,System 231,1
Actor 27,System 232,1
Actor 27,System 233,1
Actor 27,System 233,1
Actor 27,System 234,1
Actor 27,System 235,1
Actor 27,System 235,1
Actor 27,System 236,1
Actor 27,System 236,1
Actor 27,System 237,1
Actor 27,System 237,1
Actor 27,System 238,1
Actor 27,System 239,1
Actor 27,System 239,1
Actor 27,System 240,1
Actor 27,System 240,1
Actor 27,System 241,1
Actor 27,System 242,1
Actor 27,System 242,1
Actor 27,System 243,1
Actor 27,System 244,1
Actor 27,System 245,1
Actor 27,System 246,1
Actor 27,System 246,1
Actor 27,System 247,1
Actor 27,System 247,1
Actor 27,System 248,1
Actor 27,System 248,1
Actor 27,System 249,1
Actor 27,System 249,1
Actor 27,System 250,1
Actor 27,System 250,1
Actor 27,System 251,1
Actor 27,System 251,1
Actor 27,System 252,1
Actor 27,System 253,1
Actor 27,System 254,1
Actor 27,System 254,1
Actor 27,System 255,1
Actor 27,System 256,1
Actor 27,System 257,1
Actor 27,System 258,1
Actor 27,System 259,1
Actor 27,System 260,1
Actor 27,System 260,1
Actor 27,System 261,1
Actor 27,System 261,1
Actor 27,System 262,1
Actor 27,System 263,1
Actor 27,System 264,1
Actor 27,System 265,1
Actor 27,System 266,1
Actor 27,System 267,1
Actor 27,System 267,1
Actor 27,System 268,1
Actor 27,System 269,1
Actor 27,System 269,1
Actor 27,System 270,1
Actor 27,System 270,1
Actor 27,System 271,1
Actor 27,System 271,1
Actor 27,System 272,1
Actor 27,System 272,1
Actor 27,System 273,1
Actor 27,System 273,1
Actor 27,System 274,1
Actor 27,System 274,1
